2024-02-07 12:01:00,004 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 12:01:00,005 category: overall, apdex: {apdexScore=50, satisfiedCount=1, toleratingCount=0, frustratedCount=1}
2024-02-07 12:01:00,006 category: jira.agile.plan, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2024-02-07 13:01:00,003 category: jira.project.issue.nav-detail, apdex: {apdexScore=80, satisfiedCount=3, toleratingCount=2, frustratedCount=0}
2024-02-07 13:01:00,005 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,005 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,005 category: jira.agile.work, apdex: {apdexScore=100, satisfiedCount=6, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,005 category: jira.dashboard, apdex: {apdexScore=75, satisfiedCount=2, toleratingCount=2, frustratedCount=0}
2024-02-07 13:01:00,005 category: jira.agile.plan-detail, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,006 category: jira.header.menu.dashboards, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,006 category: jira.project.issue.view-issue, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,006 category: jira.header.menu.issues, apdex: {apdexScore=100, satisfiedCount=7, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,006 category: jira.issue.nav-detail, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2024-02-07 13:01:00,006 category: jira.dialog.open.create-subtask-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,006 category: jira.header.menu.projects, apdex: {apdexScore=100, satisfiedCount=7, toleratingCount=0, frustratedCount=0}
2024-02-07 13:01:00,009 category: overall, apdex: {apdexScore=91, satisfiedCount=40, toleratingCount=6, frustratedCount=1}
2024-02-07 13:01:00,009 category: jira.agile.plan, apdex: {apdexScore=75, satisfiedCount=2, toleratingCount=2, frustratedCount=0}
2024-02-07 13:01:00,010 category: jira.header.menu.agile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,023 category: jira.administration.project.summary, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2024-02-07 14:01:00,024 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,025 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,025 category: jira.agile.work, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2024-02-07 14:01:00,025 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,025 category: jira.header.menu.issues, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,026 category: jira.project.issue.view-issue, apdex: {apdexScore=83, satisfiedCount=2, toleratingCount=1, frustratedCount=0}
2024-02-07 14:01:00,026 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,026 category: jira.dialog.open.whereismycf-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2024-02-07 14:01:00,026 category: jira.agile.work-detail, apdex: {apdexScore=90, satisfiedCount=4, toleratingCount=1, frustratedCount=0}
